gene_name,NC,NC1,NC2,A,A1,A2
RNU6-319P,0,0,0,0,0,0
HAMP,0,0,0,0,0,0
RNU1-116P,0,0,0,0,0,0
FARSBP1,0,0,0,0,0,0
AC011524.1,0,0,0,0,0,0
ADCY10P1,11.8794,13.567,13.0098,11.9566,12.6318,12.0632
AC011524.3,0,0,0,0,0,0
AC011524.2,0,0,0,0,0,0
AP001595.1,0,0,0,0,0,0
RP11-488L18.10,21.6974,19.8667,17.4682,18.3635,19.9609,17.4829
AC087069.1,0,0,0,0,0,0
RP11-779O18.3,0,0,0,0,0,0
MR1,21.4716,21.0288,23.2464,19.5583,20.6378,19.7966
CNPY4,1.52018,1.41298,1.7412,4.06222,4.0985,4.13689
CNPY3,14.2203,11.1431,11.0662,12.9161,13.5957,14.5224
CNPY2,138.830906,117.400454,120.604455,121.965519,122.927083,123.640699
CNPY1,0,0,0,0,0,0
COPG2,36.0203,34.6677,38.293,49.0046,40.2284,47.2268
CTD-2616J11.11,32.4701,33.1919,32.0784,68.5966,73.481,70.6844
RP11-488I20.9,0,0,0,0,0,0
RP11-488I20.8,0,0,0,0,0,0
RPL7AP26,0,0,0,0,0,0.0976941
VN1R110P,0,0.0380862,0,0,0,0
RPL7AP23,0,0,0,0,0,0
RP11-488I20.3,0,0,0,0,0,0
RP11-488I20.2,0,0,0,0,0,0
RP11-488I20.5,0,0,0,0,0,0
RP11-488I20.4,0,0,0,0,0,0
RP11-488I20.7,0,0,0,0,0.156225,0.141947
IGLV10-54,0,0,0,0,0,0
MRO,0,0,0,0.0530046,0.0220458,0
RP11-275O4.3,0,0,0,0,0,0
RN7SL508P,0,0,0,0,0,0
RP11-275O4.4,0,0,0,0,0,0
SMDT1,24.2252,23.432,23.1355,28.0261,31.2293,27.8774
RP11-753A21.1,0,0,0,0,0,0
CTD-2134A5.4,0.228556,0.146523,0,0.115866,0.160905,0.0765688
SYPL2,0.00826809,0,0,0,0.112223,0.00844581
RFX8,0,0,0,0,0,0
CTD-2134A5.3,1.02548,0.844095,1.04528,0.31886,0.301496,0.296956
RNU6-681P,0,0,0,0,0,0
RP11-767N15.1,0,0,0,0,0,0
RFX4,0.0119763,0.00903607,0,0,0,0
RFX5,12.1767,14.3901,15.4353,16.1756,17.4298,17.0571
APP,480.049,459.045,479.075,564.207,561.712,580.154
RFX7,8.12719,9.21346,8.77745,8.9297,9.81753,9.32053
RCOR1,15.8095,20.3023,20.8985,16.2393,15.8478,16.5181
RFX2,3.19213,3.02425,3.30396,3.89553,3.25347,3.30048
RFX3,1.67978,1.45708,1.83508,1.18168,1.3705,1.3913
YDJC,32.8882,24.301,26.9348,10.8353,11.9597,12.0021
IBA57,1.48631,1.61092,1.3963,1.3892,1.40519,1.91607
AC105247.1,0,0,0,0,0,0
APC,89.2087,75.3012,79.9433,34.7665,40.5779,42.1837
TMEM179B,27.0389,23.2434,23.5791,28.0445,25.9628,27.0675
PDZK1,0.3170111,0.423345,0.2457521,0.4388654,0.245929,0.3751729
RP11-586E1.1,0,0,0,0,0,0
AC096553.5,0,0,0,0,0,0
RP11-580I1.2,0,0,0,0,0,0
RP4-620E11.4,0,0,0,0.323552,0,0
RMRPP4,0,0,0,0,0,0
RMRPP3,0,0,0,0,0,0
AC019118.2,0,0,0,0,0,0
RMRPP1,0,0.906512,0,0,0,0.931313
ZNF57,3.43972,4.72564,3.88241,4.72738,4.12717,3.86064
TIGD6,2.44959,2.45934,2.22344,1.82619,1.47355,1.51435
RNU1-150P,0,0,0,0,0,0
RNU2-45P,0,0,0,0,0,0
BAK1,30.0089,28.1986,28.3272,24.9882,26.0761,25.6333
RP11-451N19.1,0,0,0,0,0,0
RP5-1002M8.4,0,0,0,0,0,0
RP11-686D22.4,5.52273,6.71242,6.43714,9.71508,10.3174,11.0732
AC125238.3,0,0,0,0,0,0
AC125238.2,0,0,0,0,0,0
RNU6-904P,0,0,0,0,0,0
RP11-295P9.12,0,0.441874,0.229005,0,0.249819,0.225867
AC226150.3,0,0,0,0,0,0
AC226150.4,0.523896,0.590796,0.121061,0.36251,0.272945,0.350811
AC108142.1,0,0.040288,0.039894,0.107834,0.0620402,0.0824448
TRIM51FP,0,0,0,0,0,0
AP000855.4,0,0,0,0,0,0
TARS2,12.1477,11.0789,11.7266,8.29528,9.88801,10.3418
RP11-363G10.2,0,0,0,0,0,0
AC244669.1,0,0,0,0,0,0
RP11-1072N2.4,0,0,0,0,0,0
OSR1,0.743996,0.846043,0.735476,4.17667,3.51361,3.28469
RP4-601K24.1,1.17003,1.00606,1.21338,0.536911,0.816961,0.757388
IGFBP3,7.83484,7.91662,7.81247,126.657,150.195,158.395
IGFBP1,0,0,0,0,0,0
HBE1,0,0.182022,0.0888489,0.110738,0,0.0341452
IGFBP7,181.714,144.123,148.278,191.066,222.822,212.604
IGFBP4,33.4301,27.2123,27.5411,25.3311,22.4212,23.5703
IGFBP5,0.0940845,0.0973928,0.127537,5.71664,5.94586,5.76785
RP11-255I10.1,0,0,0,0,0,0
RP11-255I10.2,0,0,0,0,0,0
CYP2R1,11.3174,10.2328,11.2958,7.34466,5.41659,6.91084
CKLF,15.1441,12.7793,11.5288,9.02891,9.35505,11.887
PMS2P9,41.0137,37.5941,35.7287,55.2958,60.7123,60.7806
APLNR,0.016609,0,0,0,0,0.00848325
RN7SL402P,0,0,0,0,0,0
RN7SL303P,0,0,0,0,0,0
CYP8B1,0.0226459,0.0229387,0.0321724,0.0813032,0.101651,0.0385329
PMS2P2,0.226337,0.160947,0.246511,0.0502288,0.132694,0.256985
PMS2P3,2.76366,3.10036,4.21008,2.33548,1.4863,1.51463
PMS2P4,5.29391,4.77954,5.24788,5.48261,6.81338,6.80377
PMS2P5,4.14248,3.98996,4.11958,2.59545,2.82971,3.11077
AC087431.1,0,0,0,0,0,0
RN7SL861P,0,0,0,0,0,0
RN7SL764P,0,0,0,0,0,0
TRMT112P1,0,0,0,0,0,0
TXNIP,449.524,398.033,394.093,355.105,282.611,269.804
RP11-637O11.2,0,0,0,0,0,0
FP15737,25.3605,22.0894,22.581,11.0248,10.2112,8.77453
TGIF2P1,0,0.0616483,0,0,0,0.0624469
RASAL2-AS1,0.528422,0.423736,0.583988,1.02568,0.216549,0.292661
FAM157A,1.16233,1.24944,1.06504,0.277609,0.28329,0.325069
FAM157B,0.184274,0.153158,0.161907,0.0321194,0,0.0272685
FAM157C,6.38269,5.22157,3.97854,2.852701,1.680167,2.384939
MECOM,2.82613,3.16125,4.44852,7.1963800000000004,7.35235,7.11955
AC097461.4,0.169444,0.0905168,0,0,0.202972,0
RN7SL207P,0,0,0,0,0,0
RPL7P37,0,0,0,0,0,0
RN7SL96P,0,0,0,0,0,0
RP11-266L9.6,0.0598786,0,0,0.0757001,0,0.127373
RP11-114G22.1,0.322706,0.371519,0.561999,0.563092,0.241991,0.237762
RP11-266L9.5,0.135368,0.103491,0.0687556,0.265792,0.0765269,0.0174002
RP11-266L9.2,0.0776929,0.13092,0.0257125,0.179226,0.0446884,0.0602036
RP11-266L9.3,0.016982,0.0692458,0.0172523,0.0615615,0.0576048,0.0349275
EEF1A1P8,0.0477592,0.0244571,0,0,0,0
RP11-266L9.1,0,0,0,0.00889727,0,0
RP11-12C17.2,0.873717,0.411766,1.12696,0.168639,0.462965,0.559355
CLIC6,0.00785035,0.00794803,0.0237135,0.00939147,0.0528634,0.0480991
CLIC4,97.9555,95.0609,98.0791,39.0655,39.6312,41.2277
CLIC5,0.015831,0,0,0,0,0
CLIC2,0.201808,0.199193,0.406495,0.274137,0.250082,0.132137
CLIC3,14.0031,26.1096,24.971,8.46573,15.6575,16.2273
CLIC1,240.317,237.105,236.646,154.833,168.287,172.539
DAXX,20.133,22.7404,21.8982,15.8191,16.6691,14.6992
AC079799.2,0,0,0,0,0,0
KIAA0020,22.034,23.7873,25.0687,11.3445,11.5905,12.4064
RP11-738O11.9,0,0,0,0,0,0
AC231656.1,0,0,0,0,0,0
AC018442.1,0.0761318,0.0310069,0.0463272,0.808116,0.532958,0.297105
EEF1A1P7,0,0,0.0242943,0,0,0
HOXD-AS1,0,0,0,0,0.00786857,0
HOXD-AS2,0,0,0,0,0,0
RNU6-394P,0,0,0,0,0,0
AL645859.1,0,0,0,0,0,0
CU463998.2,0,0,0,0,0,0
SOWAHA,0,0,0,0,0,0
SECISBP2L,7.01112,8.2704,8.4905,7.96692,8.92095,7.83029
SOWAHC,30.9849,42.483,44.4685,23.946,26.5855,29.0048
SOWAHD,0.0612438,0,0.0208073,0.0495119,0.023147,0
PKD1P1,5.09623,4.20664,4.56889,1.35532,1.59923,1.6173
PUF60,88.9202,88.0349,86.9524,69.6782,73.008,75.4652
RP5-849H19.2,0,0.08802,0,0,0,0
PKD1P6,21.50539,21.697385,20.215083,8.405543,8.399986,8.430781
IGHVII-31-1,0,0,0,0,0,0
H1F0,274.135,257.937,256.933,68.3337,96.0813,94.3415
TSNAX-DISC1,20.8774,18.3021,21.4501,15.6443,16.5372,17.9227
RN7SL651P,0,0,0,0,0,0
GAMT,6.94655,5.82503,6.08356,18.8713,16.8,15.2551
CTD-2369P2.10,20.3167,19.4026,20.8395,17.4691,19.9642,17.9641
CTD-2095E4.1,0,0,0,0,0,0
RNU1-92P,0,0,0,0,0,0
ZNF2,1.8153,1.56218,1.50538,1.45776,1.17384,1.12302
PGGT1BP2,0,0,0,0,0,0
PGGT1BP1,0.138076,0,0,0,0,0
TIPIN,5.71444,8.35216,7.6087,4.62267,5.3473,5.69092
RNU6-1106P,0,0,0,0,0,0
ZNF8,43.9718,41.2275,44.2183,31.51,32.1535,33.2524
AP000962.2,0.0538422,0,0,0.0676279,0,0.0569906
RP11-485C11.1,0,0,0,0,0,0
NDE1P2,0,0,0,0,0,0
RP11-403P17.2,0,0,0,0.10393,0.095809,0
HIST1H4E,3.5899200000000002,5.81385,3.69371,5.56594,4.69387,3.80734
RP11-299G20.3,0,0,0,0.082575,0,0
RP11-299G20.2,0.0711054,0.12039,0.143764,0.0712247,0.0667229,0.0121397
RP11-403P17.5,8.42173,8.82211,9.3559,7.16319,8.05035,7.67373
CTC-207P7.1,0,0,0.0637161,0,0.0704419,0
OR4T1P,0,0,0,0,0,0
LL22NC03-N64E9.1,0,0,0,0,0,0
SBDS,72.8281,68.5942,70.1978,47.8329,48.5384,46.8244
MIR183,0,0,0,0,0,0
RN7SL586P,0,0,0,0,0,0
AL591708.1,0,0,0,0,0,0
MRPS18A,36.5103,36.5087,39.0397,17.1182,19.7116,21.2614
RP11-72B4.2,0.0773551,0,0,0,0,0
AP2A1,32.903,26.6108,28.8029,38.1491,37.5364,38.2212
RNU2-71P,0,0,0,0,0,0
AP2A2,24.264,21.7477,20.7916,23.3983,19.6053,18.0802
NIM1K,0.026814,0.0315927,0.0680943,0,0.0637566,0.0424925
RNU7-14P,0,0,0,0,0,0
FIGNL1,4.34475,4.99028,5.0535,3.25493,4.27928,4.24576
AC022210.1,0,0,0,0,0,0
RP11-650K20.2,0,0,0,0.181612,0,0
RP11-650K20.3,0.0601354,0.126291,0.0637478,0,0,0
RP11-84G21.1,2.09698,2.17264,2.01481,1.16621,1.2858,1.26759
RNU6-995P,0,0,0,0,0,0
NSUN3,8.52079,6.3296,6.06914,6.13263,4.34811,5.67711
NSUN2,24.7244,30.0116,29.5497,22.9454,22.8915,23.7718
NSUN5,15.4515,12.0603,12.4269,3.20646,4.79784,5.14779
NSUN4,19.4237,17.9077,18.2464,12.8357,12.695,14.9113
NSUN7,3.77168,3.4963,4.2031,0.572135,0.70803,0.405773
NSUN6,5.41325,5.53744,5.81044,5.60858,4.1731,3.72534
AC121334.1,13.517,14.8346,15.084,23.3749,24.2766,21.9347
BCL3,13.9422,14.3802,16.2056,8.33903,7.27816,8.20456
RP11-259O2.2,0,0,0,0,0,0
RP11-259O2.3,5.39214,9.19905,4.62417,14.6374,5.75753,6.42423
RP11-530C5.2,0,0.0641375,0,0.0772686,0,0.129964
PAGR1,107.98,91.467,104.125,137.391,145.693,139.295
hsa-mir-3670-2,0,0,0,0,0,0
KIR2DS5,0,0,0,0,0,0
RP1-203P18.1,0,0.0372402,0.0746275,0,0.0828199,0.0752746
MFSD10,65.0426,57.481,56.209,49.3403,47.9132,50.6557
KIR2DS2,0,0,0,0,0,0
MIR548AJ1,0,0,0,0,0,0
RP11-545P6.2,0,0,0,0,0,0
CDR2L,5.20112,4.75283,4.51914,6.16696,5.93955,6.24926
MIR548AJ2,0,0,0,0,0,0
AC083899.3,0.25813,0.293216,0.283586,0.187273,0.219492,0.0878627
AC083899.1,0,0,0,0,0,0
RP11-360J12.1,0,0,0,0,0,0
AC034229.1,0,0,0,0.283667,0,0
KIR2DS1,0,0,0,0,0,0
RP11-383B4.4,0,0,0,0.181611,0,0.150451
RN7SL64P,0.350005,0,0,0,0.491622,0.442362
ERLEC1P1,0.1921,0.198535,0.377939,0.425418,0.486292,0.181565
RP11-1029F8.1,0,0,0,0,0,0
RP11-63E5.1,0,0,0,0,0,0
MSLNL,0.160674,0.133021,0.0876646,0.8185,0.68351,0.745727
RP11-63E5.6,0.418188,0.823824,0.652761,0.518599,0.0965024,0.438464
RP1-137K24.1,0,0,0,0,0,0
BRDT,0,0,0,0,0,0
AL844213.6,0,0,0,0,0,0
AC005822.1,0.0681234,0.140515,0.0703556,0.0837931,0.0781033,0.106489
IL9RP2,0,0,0,0,0,0
IL9RP3,2.22115,1.89953,1.88354,2.36568,1.62623,1.91254
IL9RP4,0,0,0,0,0,0
BRD9,12.6345,11.9305,12.703,11.1956,11.1387,10.4868
BRD4,47.04615,48.52962,45.14097,21.73159,25.2012,21.18103
BRD7,29.6655,27.7224,30.071,22.4051,25.6043,22.6844
BRD1,8.0938,8.39733,9.4853,7.41421,6.66784,8.16356
BRD2,92.6685,91.7046,92.5132,79.1326,80.2612,81.5342
BRD3,9.51406,8.46606,8.67135,10.8663,10.3924,9.55679
HNRNPMP2,0,0,0,0,0,0
HNRNPMP1,0.0180785,0,0,0.0656197,0,0
AC079341.1,0,0.0142478,0,0,0.0157973,0
RP11-680G10.1,8.57393,8.37228,8.57993,12.0557,10.6989,9.7979
AC106860.1,0,0,0,0,0,0
RNU6-860P,0,0,0,0,0,0
RP5-905G11.4,0,0,0,0,0,0
AC092384.1,0,0,0,0,0,0
RP1-73A14.1,0,0,0,0,0,0
RP11-570G20.1,0,0.0689385,0.0697252,0,0,0
CTD-3195I5.4,0,0,0,0,0,0
CTD-3195I5.5,10.9967,11.3198,10.8951,7.08612,7.8612,7.66291
CTD-3195I5.3,0.288064,0.347758,0,0.432243,0,0.356308
CH25H,0.626157,0.962083,1.00995,0.087947,0.0273876,0.298834
CSF2RB,0.0121349,0.0306996,0.0305009,0,0.0496965,0.0247629
RNU6-703P,0,0,0,0,0,0
DMD,5.48443,5.2606,5.63201,6.43798,5.55507,6.27889
SEH1L,28.5949,23.4971,28.4856,20.092,21.0588,20.9032
GAB4,0,0,0,0,0,0
AC105020.1,0.560928,0.414675,0.464354,0.506149,0.430968,0.457356
GAB2,1.90759,1.76859,1.72938,1.12866,1.14437,1.05028
GAB3,0.0304586,0.0212982,0.0163207,0.0167719,0,0.0191692
GAB1,6.33647,6.63921,6.36201,5.40696,5.58211,5.30577
AC078816.1,0,0,0,0,0,0
ZSCAN9,6.520584,6.170021,5.464273,4.697784,3.28457,4.477063
ZSCAN4,0.0830822,0.183115,0.182325,0.0833924,0.12494,0.0710274
RP11-458F8.2,2.50438,1.99236,1.44041,1.10037,1.2465,0.894043
RP11-458F8.3,0,0,0,0,0.221021,0
ZSCAN1,0,0,0,0,0,0
ZSCAN2,1.45244,1.11755,1.50017,2.56098,2.2929,1.94363
CTA-397C4.2,0,0,0,0,0,0
GLIS3-AS1,0,0,0,0.0669541,0,0.0564307
RP11-378I13.1,0,0,0,0,0,0
DNAJB12,13.4846,11.8715,13.753,11.3602,11.8216,10.958
VIL1,0,0,0,0,0,0.00582877
RNU2-61P,0,0,0,0,0,0
DNAJB14,21.2365,22.0566,22.8735,12.0152,13.6189,14.4306
AC009234.1,0,0,0,0,0,0
RP11-383M4.2,0,0,0,0,0,0
RP11-383M4.6,0,0,0,0,0,0
SUPT20H,29.4691,31.9299,33.2515,19.9887,18.5062,15.7592
RNU6-1275P,0,0,0,0,0,0
RP11-152C15.1,0,0,0,0,0,0
VILL,17.2324,15.0088,15.613,26.1159,33.3163,29.3949
EFTUD1P1,0,0,0.122554,0,0.040138,0
EFTUD1P2,0,0,0,0,0,0
AC026369.1,0,0,0,0,0,0
RNU4ATAC16P,0,0,0,0,0,0
KRTAP24-1,0,0,0,0,0,0
AC078864.1,0,0,0,0,0,0
FKSG52,6.12168,5.45148,5.81787,6.06052,5.7399,6.86487
AC078864.2,0,0,0,0,0,0
PSD,0.417894,0.291395,0.173531,0.587904,0.267475,0.157163
RP11-420A23.1,0.736113,1.1021,0.609234,1.95307,1.78749,1.35539
OR8U9,0,0,0,0,0,0
NRBF2P4,0,0,0,0,0,0
RN7SL648P,2.48355,2.9818,2.38137,4.53009,2.16274,3.0425
OR8U1,0,0,0,0,0,0
AL662834.1,0,0,0,0,0,0
FAM230A,0,0.00330191,0.00327808,0.00389528,0.00365599,0.00665331
SLC9A3P2,0,0,0,0.0187766,0,0
KB-1572G7.2,2.40643,2.00652,2.49861,2.82979,2.68527,2.13358
AC105761.1,0,0,0,0,0,0
ARHGAP5-AS1,4.53998,3.58582,2.96515,2.38059,2.41705,2.32166
FAM90A3P,0,0,0,0,0,0
CNTFR,0,0,0.122802,0.0200166,0.0924924,0.122464
CTD-2118P12.1,0,0,0,0,0,0
L34079.2,17.7044,15.3352,16.7262,19.2902,18.898,18.0149
CTA-407F11.7,0,0.0651627,0,0.0785529,0.0727116,0
AC084121.14,0,0,0,0,0,0
FDCSP,0,0,0,0,0,0
AC004535.2,0,0,0,0,0,0
RP11-669E14.4,0,0,0,0,0,0
RNU6-1303P,0,0,0,0,0,0
RP11-575C1.1,0,0,0,0,0,0
PPIAL4A,0,0,0,0,0,0
RP11-399K21.14,3.49106,3.90858,5.10506,8.81666,8.92284,7.79
PPIAL4C,0,0,0,0,0,0
PPIAL4B,0,0,0,0,0,0
PPIAL4E,0,0,0,0,0,0
PPIAL4D,0,0,0,0,0,0
PPIAL4G,0.0529341,0,0,0.132849,0.123279,0
PPIAL4F,0,0,0,0,0,0
KRTAP19-8,0,0,0,0,0,0
AC123886.2,0.104115,0.108716,0,0,0,0.165075
FAM214A,6.02242,8.3249385,7.6536007,19.275724,14.010419,14.563526
FAM214B,14.4256,16.82,17.2013,7.73269,7.00952,6.85755
KCNH7,0,0,0,0,0,0
AE000659.1,0,0,0,0,0,0
TTTY23B,0,0,0,0,0,0
CTD-2315A10.1,0,0,0,0,0,0
CTD-2315A10.2,0,0,0,0,0,0
AP000304.1,0,0,0,0,0,0
RP11-297P16.3,0,0,0,0,0,0
RNU4-78P,0,0,0,0,0,0
AKIRIN2,37.7877,39.9741,43.7077,17.562,18.5091,21.4692
AKIRIN1,59.144,70.0787,71.5558,57.9915,59.8146,58.8219
RP11-134L10.1,0.150224,0.370811,0.432719,0.47841,0.240334,0.187272
AC098831.4,0,0,0,0,0,0
MIR181B2,0,0,0,0,0,0
EREG,43.5367,62.4905,59.6756,8.91816,15.5516,14.7498
RP11-317G22.2,0,0,0,0,0,0
MIR181B1,0.104969,0.130909,0.0894687,0.367394,0.0634534,0.0742215
AVPI1,58.0149,56.6641,57.6864,37.873,41.4444,39.4095
RP11-395P13.4,0,0,0,0,0,0
RP11-395P13.6,0,0,0,0,0,0
RP11-395P13.1,0,0,0,0,0,0
ASAP1,19.366,17.6166,16.7861,7.23961,7.6945,6.54634
ASAP2,16.2508,13.0032,14.0291,7.06262,7.57141,7.59059
ASAP3,6.22889,9.34921,7.88609,8.46925,9.54374,8.27985
ELL2P3,0,0,0,0,0,0
TXNL1P1,0,0,0,0,0,0
ELL2P1,0.0332257,0,0,0.100334,0.0563359,0.0341585
RP11-713C19.1,0,0,0,0,0,0
ELL2P4,0,0,0,0,0,0
OR51R1P,0,0,0,0,0,0
HILPDA,27.4379,28.7086,25.4183,32.675,35.7547,31.6394
RP11-1258F18.1,0,0,0,0,0,0
RAET1K,0.235765,0.240317,0.136845,0.122079,0.209433,0.27706
KIAA1033,16.7862,19.1686,19.4918,18.7519,19.924,18.342
snosnR66,0,0,0,0,0,0
RP1-290F12.3,0,0,0,0,0,0
RP11-56N19.5,0,0,0,0,0,0
SNORD45B,154.895,132.818,135.869,92.9817,88.976,87.3219
CTB-33O18.1,0.403342,0.683423,0.679787,0.0347439,0.129709,0.0623711
CTB-33O18.3,0.0359501,0.0421794,0.0182781,0,0,0.0184992
CTB-33O18.2,0,0,0,0,0,0
MIR544B,0,0,0,0,0,0
C14orf132,0.10637,0.0830284,0.101177,0.285633,0.31979,0.269982
ZNF165,1.81364,1.66632,1.84803,1.32341,1.1993,1.21775
XBP1P1,0.126197,0.265504,0.134074,0.160058,0.0740751,0.13454
RP11-1275J23.2,0,0,0,0,0,0
ACTBP1,0,0,0,0,0.0355725,0
SEMA6A,0.805219,1.26301,0.926921,4.36695,4.50676,3.43843
ACTBP2,0,0,0.0316846,0,0,0
RP11-249M12.2,0,0,0,0,0,0
RP11-398A8.2,0,0,0,0,0,0
RP11-466A17.1,0,0,0,0,0,0
RP11-398A8.1,0,0,0,0,0,0
hsa-mir-3181,0,0,0,0,0,0
RP11-398A8.4,0,0,0,0,0,0
CALCRL,2.89341,2.48294,2.73752,4.92211,3.85927,3.96755
RP11-536G4.2,0,0,0,0,0,0
RP11-536G4.1,0,0,0,0,0,0
CR753835.2,0,0,0,0,0,0
CR753835.1,0,0,0,0,0,0
TMEM72-AS1,0,0,0.0184186,0.0218966,0,0.0186716
CYCSP48,0,0,0,0,0,0
ANKLE1,28.6849,24.718,24.1223,23.2248,29.3224,24.5456
SERPINB9,1.27877,1.5886,1.62883,0.447122,0.559259,0.509355
RP1-152L7.8,0,0,0,0,0,0
RNU6-592P,0,0,0,0,0,0
RHPN1,1.3548,1.1132,1.47608,1.65581,1.75213,2.21331
OLR1,0.420753,0.323369,0.292884,0.705907,0.554524,1.0916
RHPN2,6.7875,6.531,5.69233,10.2674,9.82389,8.45199
SRRM1,36.7759,42.3029,43.1739,32.7182,36.5927,35.9703
RP1-152L7.3,0,0,0,0,0,0
SRRM3,0.321275,0.177541,0.235835,0.718427,0.656213,0.537163
SRRM2,82.0572,79.7041,70.1941,78.218,72.2824,72.1677
SLC25A47P1,0,0,0,0,0,0
SRRM4,0,0,0,0.0040734,0,0
RP1-152L7.5,0.221913,0.198974,0.22725,0.931657,0.803121,1.22694
GRXCR2,0,0,0.109441,0,0,0
RP11-37L2.1,0,0.17138,0,0,0.772806,0.524723
RP4-669B10.6,0,0,0,0,0,0
LA16c-349E11.1,0,0,0,0,0,0
ANKRD18EP,0.994189,1.36334,1.07083,1.40087,1.71719,1.63557
RP5-1011O1.3,0,0,0,0,0,0
RP5-1011O1.2,0,0,0,0,0,0
TM2D1,40.4739,34.0928,32.2889,24.1457,24.0831,24.5512
TM2D2,34.2159,35.8016,37.997,42.5597,47.1623,48.133
TM2D3,18.8403,18.3211,19.6907,17.1524,17.4047,18.6338
RP11-314C9.2,0.0410962,0.0419949,0.0418922,0.323977,0.866356,0.0211895
OGFRL1,19.5235,22.0618,21.32,38.3303,41.9956,41.7808
RP11-258F22.2,0.17735,0,0,0,0,0
RP11-258F22.1,3.66861,4.0201,2.60846,2.71243,3.29631,2.15198
BX842568.1,0,0,0,0,0,0
CR382280.3,0,0,0,0,0,0
CTD-2102P23.1,0.0415119,0,0.129555,0.0514626,0.047885,0
RP11-446F3.2,0,0,0,0,0,0
RSBN1,3.42229,4.0606,3.47948,3.93208,3.61801,3.45584
ARHGAP23,15.7104,19.4497,17.1951,23.9452,24.9106,23.0883
ARHGAP22,4.11802,3.7538299999999998,3.72353,3.86896,5.12069,3.94009
ARHGAP21,35.8766,36.0737,37.984,39.1971,36.6511,36.1468
ARHGAP20,0.0233187,0.0203399,0.0202025,0.0120019,0.0131608,0.00511948
ARHGAP27,13.0605,14.9827,14.2044,12.4656,10.8526,11.3825
ARHGAP26,13.0207,11.3554,10.604,2.24781,2.16929,2.21952
AC090617.1,0,0.154626,0,0,0,0
ARHGAP24,3.08886,3.20396,2.86415,12.2108,10.4295,10.0438
RP11-770E5.3,0,0,0,0,0,0
ARHGAP29,8.62874,9.62841,8.58672,9.3192,8.9903,8.53749
RP13-395E19.3,0.16744,0.0734975,0.146775,0.349349,0.135993,0.123656
RP13-395E19.4,0,0,0,0,0,0
RP11-506E9.3,0,0,0,0,0,0
AC009779.1,0,0,0,0,0,0
HHAT,0.98472,1.70591,1.16837,2.88889,1.92039,1.86188
AC005498.4,0,0,0,0.143074,0,0
RP11-104C4.2,0,0,0,0,0,0
RP11-104C4.4,0,0,0,0,0,0
RP11-344P13.6,0,0,0,0,0.131738,0
RP11-372M18.1,0,0,0,0,0,0
RP11-372M18.2,0.270233,0.226224,0,0.0679013,0.0629931,0
RN7SL736P,0,0,0,0,0,0
AC117479.1,0,0,0,0,0,0
ZNF209P,0,0,0,0,0,0
SCOCP1,0,0.215046,0,0,0,0
AL355512.1,0,0,0,0,0,0
AL355512.2,0,0,0,0,0,0
NDUFAF6,7.20903,8.19195,8.57529,6.56388,5.90466,7.04143
RP11-396B14.2,0,0.0750978,0,0,0.167795,0
AC005808.3,0,0,0,0,0,0
NDUFAF1,13.5535,12.9728,11.2657,11.6756,14.6085,13.2107
DNAJC19,16.0248,13.0067,15.6077,12.2479,12.6531,11.7598
RP11-993B23.3,0.961577,1.00144,0.855719,2.04066,1.83998,0.911866
RP11-993B23.1,0,0,0,0,0,0
NDUFAF3,35.6003,24.3684,25.4489,16.1124,20.8798,20.0051
RP11-876F14.1,0,0,0,0,0,0
OR2H2,0,0,0,0.121303,0.0753963,0.0342746
AC021613.1,0,0,0,0,0,0
DBIL5P,0.0457431,0.0696731,0.0693351,0.096493,0.207494,0.507232
MCCC1-AS1,0.243168,0.226137,0.0902759,0.375974,0.225909,0.136943
RSAD2,30.2338,75.4159,75.9349,1.69284,14.3947,12.0591
RSAD1,7.9372,8.32805,8.58669,6.67324,6.85303,7.1923
FAT1P1,0,0,0,0,0,0
OR2H1,0,0,0,0,0,0
CTA-253N17.1,1.27921,0.826227,0.669604,0.604835,0.604437,0.526438
AC137932.1,0.891835,0.862299,0.692379,0.71526,0.551173,0.493081
IGLV1-50,0,0,0,0.189315,0,0
AC137932.6,0,0.0290153,0,0.0690806,0,0
AC137932.5,0.342524,0.421578,0.440697,0,0.175822,0.432325
RP11-95M15.1,0.0883968,0,0.0963233,0,0.106022,0.0961867
RP11-95M15.2,0.0179522,0.0366251,0,0,0.0203146,0
CTA-326K9.1,0,0,0,0,0,0
RP11-26N15.2,0,0,0,0,0,0.041203
IL4R,30.6533,35.8954,36.665,13.8219,15.496,16.1599
AL161793.1,0,0,0,0,0,0
RP11-148B6.2,0,0,0.248482,0,0,0
RN7SL415P,0,0,0,0,0,0
RNVU1-16,0,0,0,0,0,0
RNVU1-17,0,0,0,0,0,0
RNVU1-14,0.0942393,0.291046,0.258873,2.04218,10.4079,4.78805
RNVU1-15,0,0,0,0,0,0
RNVU1-12,0,0,0,0,0,0
RNVU1-13,0,0,0,0,0,0
RNVU1-10,0,0,0,0,0,0
RNVU1-11,0,0,0,0,0,0
EFHC2,0.200183,0.0635782,0.101249,0.991872,0.861164,1.18486
EFHC1,1.88394,1.99632,1.95648,2.87521,2.89429,2.75894
AC093311.1,0,0,0,0,0,0
CTD-2328D6.1,17899.2,24286.2,16713.6,28445.9,19808,22817.8
RNVU1-18,0,0,0,0,0,0
